Hillsdale County,B-,Up from yesterday
Greene County,B-,Up from yesterday
Schoharie County,B-,Up from yesterday
Wayne County,B-,Up from yesterday
Adams County,B-,Up from yesterday
Montgomery County,B-,Up from yesterday
Lee County,B-,Up from yesterday
Chicot County,B-,Up from yesterday
Moffat County,B-,Up from yesterday
Crowley County,B-,Up from yesterday
Huerfano County,B-,Up from yesterday
Cheyenne County,B-,Up from yesterday
Terrell County,B-,Up from yesterday
Wilkes County,B-,Up from yesterday
Wilcox County,B-,Up from yesterday
Lincoln County,B-,Up from yesterday
Hancock County,B-,Up from yesterday
Butler County,B-,Up from yesterday
Audubon County,B-,Up from yesterday
Tama County,B-,Up from yesterday
Palo Alto County,B-,Up from yesterday
Grundy County,B-,Up from yesterday
Shoshone County,B-,Up from yesterday
Lincoln County,B-,Up from yesterday
Boundary County,B-,Up from yesterday
Scott County,B-,Up from yesterday
Pulaski County,B-,Up from yesterday
Ohio County,B-,Up from yesterday
Jefferson County,B-,Up from yesterday
Gray County,B-,Up from yesterday
Stanton County,B-,Up from yesterday
Marion County,B-,Up from yesterday
Republic County,B-,Up from yesterday
Ellsworth County,B-,Up from yesterday
Chase County,B-,Up from yesterday
Doniphan County,B-,Up from yesterday
Meade County,B-,Up from yesterday
Brown County,B-,Up from yesterday
Chautauqua County,B-,Up from yesterday
Smith County,B-,Up from yesterday
Nemaha County,B-,Up from yesterday
McCreary County,B-,Up from yesterday
Pendleton County,B-,Up from yesterday
Garrard County,B-,Up from yesterday
Schoolcraft County,B-,Up from yesterday
Cottonwood County,B-,Up from yesterday
Clearwater County,B-,Up from yesterday
Renville County,B-,Up from yesterday
Andrew County,B-,Up from yesterday
Putnam County,B-,Up from yesterday
Jefferson County,B-,Up from yesterday
Holmes County,B-,Up from yesterday
Quitman County,B-,Up from yesterday
Musselshell County,B-,Up from yesterday
Broadwater County,B-,Up from yesterday
Warren County,B-,Up from yesterday
Alleghany County,B-,Up from yesterday
Antelope County,B-,Up from yesterday
Nuckolls County,B-,Up from yesterday
Sherman County,B-,Up from yesterday
Pierce County,B-,Up from yesterday
Richardson County,B-,Up from yesterday
Harlan County,B-,Up from yesterday
Knox County,B-,Up from yesterday
Perkins County,B-,Up from yesterday
Frontier County,B-,Up from yesterday
Box Butte County,B-,Up from yesterday
Noble County,B-,Up from yesterday
Beaver County,B-,Up from yesterday
Dewey County,B-,Up from yesterday
Blaine County,B-,Up from yesterday
Hughes County,B-,Up from yesterday
Alfalfa County,B-,Up from yesterday
Johnston County,B-,Up from yesterday
Major County,B-,Up from yesterday
Woods County,B-,Up from yesterday
Fulton County,B-,Up from yesterday
Saluda County,B-,Up from yesterday
Hamlin County,B-,Up from yesterday
Roberts County,B-,Up from yesterday
Edmunds County,B-,Up from yesterday
Butte County,B-,Up from yesterday
Custer County,B-,Up from yesterday
Perry County,B-,Up from yesterday
Haskell County,B-,Up from yesterday
Shackelford County,B-,Up from yesterday
Hudspeth County,B-,Up from yesterday
Red River County,B-,Up from yesterday
Hemphill County,B-,Up from yesterday
Hansford County,B-,Up from yesterday
Collingsworth County,B-,Up from yesterday
Jack County,B-,Up from yesterday
Mills County,B-,Up from yesterday
Jones County,B-,Up from yesterday
Zavala County,B-,Up from yesterday
Comanche County,B-,Up from yesterday
Craig County,B-,Up from yesterday
Clarke County,B-,Up from yesterday
Surry County,B-,Up from yesterday
Nottoway County,B-,Up from yesterday
Columbia County,B-,Up from yesterday
Waushara County,B-,Up from yesterday
Buffalo County,B-,Up from yesterday
Goshen County,B-,Up from yesterday
Big Horn County,B-,Up from yesterday
Platte County,B-,Up from yesterday
Coconino County,B-,Same as yesterday
Imperial County,B-,Same as yesterday
Tolland County,B-,Same as yesterday
Isabella County,B-,Same as yesterday
St. Louis County,B-,Same as yesterday
Goodhue County,B-,Same as yesterday
Beltrami County,B-,Same as yesterday
Nodaway County,B-,Same as yesterday
Flathead County,B-,Same as yesterday
Jackson County,B-,Same as yesterday
Wayne County,B-,Same as yesterday
Elko County,B-,Same as yesterday
Clark County,B-,Same as yesterday
Warren County,B-,Same as yesterday
New York County,B-,Same as yesterday
Rensselaer County,B-,Same as yesterday
Ontario County,B-,Same as yesterday
St. Lawrence County,B-,Same as yesterday
Athens County,B-,Same as yesterday
Love County,B-,Same as yesterday
Lincoln County,B-,Same as yesterday
Union County,B-,Same as yesterday
Centre County,B-,Same as yesterday
Grant County,B-,Same as yesterday
Albany County,B-,Same as yesterday
Uinta County,B-,Same as yesterday
Washington County,B-,Same as yesterday
Wilcox County,B-,Same as yesterday
Pickens County,B-,Same as yesterday
Izard County,B-,Same as yesterday
Cleveland County,B-,Same as yesterday
Newton County,B-,Same as yesterday
Fulton County,B-,Same as yesterday
Logan County,B-,Same as yesterday
Perry County,B-,Same as yesterday
Greenlee County,B-,Same as yesterday
Trinity County,B-,Same as yesterday
Montezuma County,B-,Same as yesterday
Rio Blanco County,B-,Same as yesterday
Baca County,B-,Same as yesterday
Liberty County,B-,Same as yesterday
Gulf County,B-,Same as yesterday
Calhoun County,B-,Same as yesterday
Crawford County,B-,Same as yesterday
Wilkinson County,B-,Same as yesterday
Meriwether County,B-,Same as yesterday
Atkinson County,B-,Same as yesterday
Oglethorpe County,B-,Same as yesterday
Screven County,B-,Same as yesterday
Johnson County,B-,Same as yesterday
